港澳台频道,#genre#
CCTV10,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv10.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000001000023734.m3u8%3Fcdn%3Dystenlive$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F5000000004000012827.m3u8%3Fcdn%3Dbestzb$itv-50-FPS#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265010.m3u8%3Fcdn%3Dystenlive$itv-HEVC#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FG_CCTV-10-HD-265-8M.m3u8$tptv
CCTV11,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv11.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F5000000011000031106.m3u8%3Fcdn%3Dbestzb$itv-50-FPS#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265011.m3u8%3Fcdn%3Dystenlive$itv-HEVC#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FH265-5500k-1080P-cctv11.m3u8$tptv
CCTV12,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv12.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000001000032494.m3u8%3Fcdn%3Dystenlive$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F6000000001000022586.m3u8%3Fcdn%3Dwasusyt$itv-50-FPS#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265012.m3u8%3Fcdn%3Dystenlive$itv-HEVC#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FG_CCTV-12-HD-265-8M.m3u8$tptv
CCTV13,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv13.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F5000000011000031108.m3u8%3Fcdn%3Dbestzb$itv-50-FPS#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FG_CCTV-13-HQ.m3u8$tptv
CCTV14,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv14.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000001000008170.m3u8%3Fcdn%3Dystenlive$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F5000000004000006673.m3u8%3Fcdn%3Dbestzb$itv-50-FPS#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265013.m3u8%3Fcdn%3Dystenlive$itv-HEVC#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FG_CCTV-14-CQ.m3u8$tptv
CCTV15,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv15.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F5000000011000031109.m3u8%3Fcdn%3Dbestzb$itv-50-FPS#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265014.m3u8%3Fcdn%3Dystenlive$itv-HEVC#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FH265-5500k-1080P-cctv15.m3u8$tptv
CCTV16,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv16.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000006000233002.m3u8%3Fcdn%3Dystenlive$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FG_CCTV-16-CQ.m3u8$tptv
CCTV17,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fysptp%2Fcctv17.m3u8$ysptp-高码#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000006000268004.m3u8%3Fcdn%3Dystenlive$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265015.m3u8%3Fcdn%3Dystenlive$itv-HEVC#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FG_CCTV-17-CQ.m3u8$tptv

卫视频道,#genre#
凤凰卫视中文台,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FHD-10000k-1080P-fhchinese5s.m3u8$tptv
凤凰卫视资讯台,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FHD-10000k-1080P-fhzixun5s.m3u8$tptv
凤凰卫视香港台,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FHD-10000k-1080P-fhhongkong5s.m3u8$tptv
湖南卫视,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F5000000004000006692.m3u8%3Fcdn%3Dbestzb$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F6000000001000018044.m3u8%3Fcdn%3Dwasusyt$itv-50-FPS#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265024.m3u8%3Fcdn%3Dystenlive$itv-HEVC#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FG_HUNAN-HD-265-8M.m3u8$tptv
浙江卫视,http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F5000000004000007275.m3u8%3Fcdn%3Dbestzb$itv-50-FPS#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000001000014260.m3u8%3Fcdn%3Dystenlive$itv#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Fitv%2F1000000005000265031.m3u8%3Fcdn%3Dystenlive$itv-HEVC#http://js.missyao.com:35456/jump?url=http%3A%2F%2F192.168.2.241%3A35455%2Ftptv%2FG_ZHEJIANG-HD-265-8M.m3u8$tptv
